Film name,Brand,Origin,Film type,Film formats (mm),ISO film speed,Film grain,Film contrast,Film hue,Film use cases,Description,Photo of the film,Link to the page descritpion,Film datasheet
Kodak T-MAX 400,Kodak,USA,Black & White,"35, 120, Sheet film",400,Fine,High,N/A,"General Purpose, Detailed Subject, Sports","Kodak T-MAX 400 is a versatile black and white film with a fine grain structure despite its high speed, making it ideal for capturing sharp images with great detail. Its wide exposure latitude allows for excellent detail retention in various lighting situations. The film's fine grain and moderate contrast make it an excellent choice for a range of photography styles including street, landscape, and portrait photography.",https://www.filmtypes.com/imgs/filmrolls/kodak-t-max-400.jpg,https://www.filmtypes.com/films/kodak-t-max-400,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/Kodak-T-MAX-400.pdf?alt=media&token=bf621c7b-81ed-477c-8b8b-f0d5761b26f6
Kodak T-MAX P3200,Kodak,USA,Black & White,"35, 120, Sheet film",1000,Strong,High,N/A,"General Purpose, Low Light Conditions","Kodak T-MAX P3200 is a high-speed black and white film, designed to be shot in very low light conditions. It exhibits a coarse grain and high contrast, adding a distinct character to the images. It’s a popular choice for nighttime street photography and other low light situations, offering a unique grain structure that can add an artistic touch to your photos.",https://www.filmtypes.com/imgs/filmrolls/kodak-t-max-p3200.jpg,https://www.filmtypes.com/films/kodak-t-max-p3200,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/Kodak-%20T-MAX-P3200.pdf?alt=media&token=0604a2db-297a-44b2-aaea-42c79e1f6ba8
Kodak Tri-X 400,Kodak,USA,Black & White,"35, 120, Sheet film",400,Fine,High,N/A,"Wedding, Street, Sports","Kodak Tri-X 400 is an iconic black and white film with a classic grain structure and high contrast, giving your photos a timeless look. It has a wide exposure latitude, allowing for great detail retention in various lighting conditions. It’s a favorite among street photographers and photojournalists for its reliability and the dynamic results it produces.",https://www.filmtypes.com/imgs/filmrolls/kodak-tri-x-400.jpg,https://www.filmtypes.com/films/kodak-tri-x-400,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/KODAK-PROFESSIONAL-TRI-X-320-and-400.pdf?alt=media&token=eba2edb4-d397-4079-8d7a-6cad5ae48d77
Kodak Ultramax 400,Kodak,USA,Color Negative ,35,400,Medium,High,Natural with a hint of warmth,General Purpose,"Kodak Ultramax 400 is a versatile, consumer-friendly film known for its fine grain and great color reproduction. It performs well in a variety of lighting conditions, offering a hint of warmth that can give images a nostalgic feel. It is appreciated for its flexibility, being a good choice for beginners and for those looking to capture everyday moments with a filmic look.",https://www.filmtypes.com/imgs/filmrolls/kodak-ultramax-400.jpg,https://www.filmtypes.com/films/kodak-ultramax-400,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/Kodak-Ultra-Max-400.pdf?alt=media&token=23528a95-92bd-4e1a-b6a1-804e6aa7727e
Lomochrome Purple XR,Lomography,Czech Republic,Color Negative ,35,400,Medium,Medium,"Film Hue Film Hue for Lomochrome Purple XR Purple, with green and blue shifts",Creative,"Lomochrome Purple XR is known for its unique color shifts, where green turns to purple, blue goes green and reds and yellows pop intensely. Its flexibility in ISO range from 100-400 allows for experimentation with different lighting conditions and color balances. This film is popular among artists and experimental photographers for its psychedelic, infrared-like results.",https://www.filmtypes.com/imgs/filmrolls/lomochrome-purple-xr.jpg,https://www.filmtypes.com/films/lomochrome-purple-xr,N/A
Lomography CN 100,Lomography,USA,Color Negative ,35,100,Normal,Medium High,Natural with muted tones,"Sunny Conditions, General Purpose","Lomography CN 100 is a low ISO film that offers fine grain and good detail. It renders colors with a natural and somewhat muted palette, which is great for portrait photography and subdued landscapes. Being a slow film, it performs best in good lighting conditions and tends to offer a somewhat vintage, relaxed feel to the images.",https://www.filmtypes.com/imgs/filmrolls/lomography-cn-100.jpg,https://www.filmtypes.com/films/lomography-cn-100,N/A
Lomography CN 400,Lomography,USA,Color Negative ,35,400,Medium,High,Natural with a slightly vibrant touch,"General Purpose, Sports","Lomography CN 400 is a versatile film with a moderate grain structure. It offers a slightly vibrant yet natural color reproduction, suitable for a wide range of photographic situations. This film adapts well to different lighting conditions, making it a good choice for everyday shooting, street photography, and more.",https://www.filmtypes.com/imgs/filmrolls/lomography-cn-400.jpg,https://www.filmtypes.com/films/lomography-cn-400,N/A
Lomography CN 800,Lomography,USA,Color Negative ,35,800,Medium,Medium,Vibrant with a slight emphasis on red tones,"Sunny Conditions, Sports, Low Light Conditions",Lomography CN 800 is a high-speed film that is known for delivering vibrant colors with a noticeable emphasis on red tones. Its ISO 800 sensitivity makes it suitable for low-light conditions while maintaining a relatively fine grain structure. This film is appreciated for its flexibility and it's a go-to choice for night-time street photography and capturing movement in low light.,https://www.filmtypes.com/imgs/filmrolls/lomography-cn-800.jpg,https://www.filmtypes.com/films/lomography-cn-800,N/A
Lomography Earl Grey,Lomography,USA,Black & White,"35, 120",100,Normal,High ,N/A,General Purpose,"Lomography Earl Grey is a black and white film with a fine grain structure and high contrast, making it ideal for capturing rich blacks and bright whites. Its ISO 100 speed means it performs best in well-lit situations, providing images with depth and clarity. It's a great choice for artistic photography and can produce dramatic results with well-defined structures.",https://www.filmtypes.com/imgs/filmrolls/lomography-earl-grey.jpg,https://www.filmtypes.com/films/lomography-earl-grey,N/A
Lomography Lady Grey,Lomography,USA,Black & White,"35, 120",400,Medium,High,N/A,"General Purpose, Sports","Lomography Lady Grey is a 400 ISO speed film, offering fine grain and a moderate contrast profile. This film yields deep blacks and a wide range of grays, making it a suitable choice for various lighting conditions. It's well-suited for street photography, portraits, and other scenarios where you would want a reliable black and white film with a classic aesthetic.",https://www.filmtypes.com/imgs/filmrolls/lomography-lady-grey.jpg,https://www.filmtypes.com/films/lomography-lady-grey,N/A
Retro Pan 320 Soft,Fomapan,Czech Republic,Black & White,"35, 120, Sheet film",320,Normal,Low,N/A,"General Purpose, Portraits, Street, Landscape, Nature, Creative","Retro Pan 320 Soft is a special film characterized by its low contrast and 'soft' grain structure, allowing for images with a gentle, vintage appeal. The film's unique look can add a certain timeless, almost dreamy quality to the photos. It can be a great choice for portrait photography where a softer, more subdued image aesthetic is desired.",https://www.filmtypes.com/imgs/filmrolls/retro-pan-320-soft.jpg,https://www.filmtypes.com/films/retro-pan-320-soft,https://firebasestorage.googleapis.com/v0/b/filmtypes-app.appspot.com/o/Foma-Retropan-320-Soft.pdf?alt=media&token=bea49dad-e35b-4b03-9c11-560bae209063
